Id,District
401190113011039,1
401190113011040,1
401190113011041,1
401190113011042,1
401190113011043,1
401190113011044,1
401190113011045,1
401190113011046,1
401190113011047,1
401190113011048,1
401190113011049,1
401190113011050,1
401190113011051,1
401190113011052,1
401190113011053,1
401190113011054,1
401190113011055,1
401190113011056,1
401190113011057,1
401190113011058,1
401190113011059,1
401190113011060,1
401190113012000,1
401190113012001,1
401190113012002,1
401190113012003,1
401190113012004,1
401190113012005,1
401190113012006,1
401190113012007,1
401190113012008,1
401190113012009,1
401190113012010,1
401190113012011,1
401190113012012,1
401190113012013,1
401190113012014,1
401190113012015,1
401190113012016,1
401190113012017,1
401190113012018,1
401190113012019,1
401190113012020,1
401190113012021,1
401190113012022,1
401190113012023,1
401190113012024,1
401190113012025,1
401190113012026,1
401190113012027,1
401190113012028,1
401190113012029,1
401190113012030,1
401190113012031,1
401190113012032,1
401190113012033,1
401190113012034,1
401190113012035,1
401190113012036,1
401190113012037,1
401190113012038,1
401190113012039,1
401190113012040,1
401190113012041,1
401190113012042,1
401190113012043,1
401190113012044,1
401190113012045,1
401190113012046,1
401190113012047,1
401190113012048,1
401190113012049,1
401190113012050,1
401190113012051,1
401190113012052,1
401190113012053,1
401190113012054,1
401190113012055,1
401190113013000,1
401190113013001,1
401190113013002,1
401190113013003,1
401190113013004,1
401190113013005,1
401190113013006,1
401190113013007,1
401190113013008,1
401190113013009,1
401190113013010,1
401190113013011,1
401190113013012,1
401190114002002,1
401190114002003,1
401190114002004,1
401190114002005,1
401190114002010,1
401190114002011,1
401190114002012,1
401190114002013,1
401190114002014,1
401190114002015,1
401190114002016,1
401190114002017,1
401190114002018,1
401190114002019,1
401190114002020,1
401190114002021,1
401190114003000,1
401190114003001,1
401190114003002,1
401190114003003,1
401190102023013,1
401190102023014,1
401190102023015,1
401190102023016,1
401190102023017,1
401190102023018,1
401190103001000,1
401190103001001,1
401190103001003,1
401190103001004,1
401190103001005,1
401190103001050,1
401190103001051,1
401190109011000,1
401190109011001,1
401190109011002,1
401190109011003,1
401190109011004,1
401190109011005,1
401190109011006,1
401190109011007,1
401190109011008,1
401190109011009,1
401190109011010,1
401190109011011,1
401190109011012,1
401190109011013,1
401190109011014,1
401190109011015,1
401190109011016,1
401190109012014,1
401190109012016,1
401190109012017,1
401190109012018,1
401190109012019,1
401190109012020,1
401190109012021,1
401190109012022,1
401190109012023,1
401190109024000,1
401190109024001,1
401190109024002,1
